"lat","long","year","catch","spp","waterTmpC","TowID"
56.97717,-166.46133,1982,35.5076,"walleye pollock",2.1,"1982_56.97717_-166.46133"
56.98,-168.99567,1982,2.5868,"walleye pollock",3.5,"1982_56.98_-168.99567"
56.9805,-171.40833,1982,482.6886,"walleye pollock",3.7,"1982_56.9805_-171.40833"
56.982,-160.33467,1982,14.7539,"walleye pollock",0.2,"1982_56.982_-160.33467"
56.98617,-161.5835,1982,0.3811,"walleye pollock",0.7,"1982_56.98617_-161.5835"
56.988,-167.71483,1982,37.654,"walleye pollock",3.3,"1982_56.988_-167.71483"
56.99,-164.605,1982,55.4078,"walleye pollock",0.2,"1982_56.99_-164.605"
56.99333,-162.17333,1982,0.0217,"walleye pollock",0.1,"1982_56.99333_-162.17333"
56.99333,-159.72333,1982,38.5532,"walleye pollock",0.4,"1982_56.99333_-159.72333"
57.001,-163.99417,1982,5.2803,"walleye pollock",-0.2,"1982_57.001_-163.99417"
57.00233,-170.1805,1982,1.5029,"walleye pollock",4.7,"1982_57.00233_-170.1805"
57.00467,-159.09633,1982,28.047,"walleye pollock",0.3,"1982_57.00467_-159.09633"
56.842,-169.92817,1982,0.0207,"walleye pollock",4.5,"1982_56.842_-169.92817"
56.85233,-168.64883,1982,36.6549,"walleye pollock",2.8,"1982_56.85233_-168.64883"
56.67333,-165.825,1982,15.586,"walleye pollock",2,"1982_56.67333_-165.825"
56.674,-171.9685,1982,50.8171,"walleye pollock",4.1,"1982_56.674_-171.9685"
56.67833,-160.99167,1982,8.2021,"walleye pollock",0.8,"1982_56.67833_-160.99167"
57.015,-160.95167,1982,1.5296,"walleye pollock",-0.3,"1982_57.015_-160.95167"
57.01583,-172.69083,1982,220.1549,"walleye pollock",3.8,"1982_57.01583_-172.69083"
57.01617,-171.9675,1982,7.5082,"walleye pollock",3.8,"1982_57.01617_-171.9675"
57.01667,-163.395,1982,33.9127,"walleye pollock",0.5,"1982_57.01667_-163.395"
57.01783,-162.7815,1982,1.0659,"walleye pollock",-0.5,"1982_57.01783_-162.7815"
57.018,-165.21617,1982,3.5487,"walleye pollock",0.1,"1982_57.018_-165.21617"
57.0305,-173.2815,1982,241.3699,"walleye pollock",4.1,"1982_57.0305_-173.2815"
57.142,-169.90583,1982,0.0534,"walleye pollock",4.4,"1982_57.142_-169.90583"
57.14733,-169.33217,1982,64.2743,"walleye pollock",3.5,"1982_57.14733_-169.33217"
57.17667,-168.62167,1982,776.5662,"walleye pollock",3.4,"1982_57.17667_-168.62167"
57.31067,-166.48033,1982,11.3583,"walleye pollock",2.1,"1982_57.31067_-166.48033"
57.31417,-171.45967,1982,316.2083,"walleye pollock",3.4,"1982_57.31417_-171.45967"
57.31483,-169.022,1982,0.8359,"walleye pollock",3.7,"1982_57.31483_-169.022"
57.31517,-160.29783,1982,10.9009,"walleye pollock",0.1,"1982_57.31517_-160.29783"
57.31667,-169.60833,1982,92.598,"walleye pollock",2.2,"1982_57.31667_-169.60833"
57.31667,-159.66333,1982,16.539,"walleye pollock",0.6,"1982_57.31667_-159.66333"
57.00833,-167.08167,1982,6.9424,"walleye pollock",3,"1982_57.00833_-167.08167"
57.01167,-170.78833,1982,407.1045,"walleye pollock",3.9,"1982_57.01167_-170.78833"
57.01167,-165.85833,1982,7.8586,"walleye pollock",1.7,"1982_57.01167_-165.85833"
57.01283,-168.34083,1982,232.1074,"walleye pollock",3.1,"1982_57.01283_-168.34083"
57.015,-169.52283,1982,17.2827,"walleye pollock",3.8,"1982_57.015_-169.52283"
57.325,-164.61667,1982,34.3974,"walleye pollock",0.5,"1982_57.325_-164.61667"
57.33217,-161.57967,1982,0.0287,"walleye pollock",0.2,"1982_57.33217_-161.57967"
57.335,-162.15333,1982,2.2844,"walleye pollock",0.5,"1982_57.335_-162.15333"
57.33833,-158.41,1982,1.3034,"walleye pollock",0.5,"1982_57.33833_-158.41"
57.33917,-159.08733,1982,2.7073,"walleye pollock",0.6,"1982_57.33917_-159.08733"
57.34217,-168.38783,1982,107.7886,"walleye pollock",3.4,"1982_57.34217_-168.38783"
57.3425,-173.27,1982,94.8172,"walleye pollock",-9999,"1982_57.3425_-173.27"
57.345,-163.4,1982,10.1383,"walleye pollock",0.3,"1982_57.345_-163.4"
57.345,-160.94,1982,3.912,"walleye pollock",0.6,"1982_57.345_-160.94"
57.34667,-165.87667,1982,10.6022,"walleye pollock",0.8,"1982_57.34667_-165.87667"
57.35033,-165.249,1982,11.4304,"walleye pollock",0,"1982_57.35033_-165.249"
57.357,-170.28,1982,0,"walleye pollock",5,"1982_57.357_-170.28"
57.365,-170.87167,1982,26.9895,"walleye pollock",3.8,"1982_57.365_-170.87167"
57.37183,-167.739,1982,2.524,"walleye pollock",3,"1982_57.37183_-167.739"
57.48983,-169.97567,1982,504.8332,"walleye pollock",2.6,"1982_57.48983_-169.97567"
57.4925,-169.295,1982,161.416,"walleye pollock",3.7,"1982_57.4925_-169.295"
57.50883,-168.641,1982,101.1475,"walleye pollock",3.1,"1982_57.50883_-168.641"
57.5145,-170.55167,1982,0.7049,"walleye pollock",3.7,"1982_57.5145_-170.55167"
57.64467,-160.26067,1982,4.3413,"walleye pollock",0.9,"1982_57.64467_-160.26067"
57.65,-159.64167,1982,0.5417,"walleye pollock",0.3,"1982_57.65_-159.64167"
57.34333,-167.135,1982,60.5425,"walleye pollock",2.5,"1982_57.34333_-167.135"
57.34417,-162.767,1982,0.0356,"walleye pollock",0.7,"1982_57.34417_-162.767"
57.31867,-163.99383,1982,2.3533,"walleye pollock",-0.9,"1982_57.31867_-163.99383"
57.3195,-172.72033,1982,0.0817,"walleye pollock",4.2,"1982_57.3195_-172.72033"
57.325,-172.09417,1982,110.1861,"walleye pollock",3.7,"1982_57.325_-172.09417"
57.6635,-170.89517,1982,36.5761,"walleye pollock",3.4,"1982_57.6635_-170.89517"
57.665,-172.15333,1982,81.6297,"walleye pollock",3.5,"1982_57.665_-172.15333"
57.665,-162.13667,1982,0.2135,"walleye pollock",1,"1982_57.665_-162.13667"
57.66583,-169.67833,1982,19.2386,"walleye pollock",2.9,"1982_57.66583_-169.67833"
57.68283,-165.24933,1982,0,"walleye pollock",-0.4,"1982_57.68283_-165.24933"
57.68367,-170.29783,1982,64.0986,"walleye pollock",3.2,"1982_57.68367_-170.29783"
57.68383,-167.759,1982,3.5564,"walleye pollock",3.2,"1982_57.68383_-167.759"
57.685,-163.39167,1982,2.1249,"walleye pollock",0.7,"1982_57.685_-163.39167"
57.66683,-169.07167,1982,77.8529,"walleye pollock",2.7,"1982_57.66683_-169.07167"
57.66867,-168.41833,1982,5.0791,"walleye pollock",2.5,"1982_57.66867_-168.41833"
57.67167,-158.36,1982,0,"walleye pollock",-0.6,"1982_57.67167_-158.36"
57.6735,-171.5105,1982,1049.6517,"walleye pollock",3.2,"1982_57.6735_-171.5105"
57.675,-160.89,1982,26.2865,"walleye pollock",0.8,"1982_57.675_-160.89"
57.67667,-167.14667,1982,8.4554,"walleye pollock",2.1,"1982_57.67667_-167.14667"
57.67667,-165.88833,1982,1.9574,"walleye pollock",0.2,"1982_57.67667_-165.88833"
57.68067,-159.01867,1982,0,"walleye pollock",-0.4,"1982_57.68067_-159.01867"
57.65017,-163.992,1982,0,"walleye pollock",0.7,"1982_57.65017_-163.992"
57.65217,-161.48283,1982,4.3151,"walleye pollock",1.8,"1982_57.65217_-161.48283"
57.656,-173.37867,1982,40.7614,"walleye pollock",-9999,"1982_57.656_-173.37867"
57.65667,-164.62,1982,32.2141,"walleye pollock",0.4,"1982_57.65667_-164.62"
57.74267,-172.81617,1982,325.8123,"walleye pollock",3.5,"1982_57.74267_-172.81617"
57.81817,-169.30317,1982,148.3084,"walleye pollock",3.3,"1982_57.81817_-169.30317"
57.83583,-169.9935,1982,60.5951,"walleye pollock",1.3,"1982_57.83583_-169.9935"
57.83583,-168.68383,1982,17.9727,"walleye pollock",2.3,"1982_57.83583_-168.68383"
57.8525,-170.58583,1982,296.4877,"walleye pollock",3.6,"1982_57.8525_-170.58583"
57.97467,-173.4825,1982,337.6238,"walleye pollock",3.5,"1982_57.97467_-173.4825"
57.97783,-171.59183,1982,2.0549,"walleye pollock",3.2,"1982_57.97783_-171.59183"
57.98117,-164.00067,1982,2.1156,"walleye pollock",1.3,"1982_57.98117_-164.00067"
57.985,-162.13,1982,0.0152,"walleye pollock",1.5,"1982_57.985_-162.13"
57.98533,-166.51633,1982,11.1808,"walleye pollock",1.3,"1982_57.98533_-166.51633"
57.986,-160.20333,1982,0,"walleye pollock",1.2,"1982_57.986_-160.20333"
57.99,-164.625,1982,2.0493,"walleye pollock",0.8,"1982_57.99_-164.625"
57.995,-165.9,1982,18.7705,"walleye pollock",1,"1982_57.995_-165.9"
57.99667,-159.605,1982,0.0213,"walleye pollock",0,"1982_57.99667_-159.605"
57.9975,-167.16883,1982,5.3341,"walleye pollock",1.3,"1982_57.9975_-167.16883"
58.00167,-160.85333,1982,1.0005,"walleye pollock",1.9,"1982_58.00167_-160.85333"
58.00233,-169.69783,1982,15.323,"walleye pollock",2.4,"1982_58.00233_-169.69783"
58.0025,-172.23283,1982,25.8312,"walleye pollock",3,"1982_58.0025_-172.23283"
58.00633,-168.44367,1982,37.7592,"walleye pollock",2.2,"1982_58.00633_-168.44367"
57.97917,-161.47933,1982,7.9369,"walleye pollock",1.8,"1982_57.97917_-161.47933"
57.7,-162.75333,1982,1.2506,"walleye pollock",0.8,"1982_57.7_-162.75333"
57.7355,-166.53083,1982,40.8633,"walleye pollock",1.3,"1982_57.7355_-166.53083"
58.015,-158.31667,1982,0,"walleye pollock",0.5,"1982_58.015_-158.31667"
58.01533,-165.24683,1982,20.4993,"walleye pollock",1.1,"1982_58.01533_-165.24683"
58.0245,-170.32933,1982,111.7908,"walleye pollock",1.8,"1982_58.0245_-170.32933"
58.0275,-162.7485,1982,2.3594,"walleye pollock",1.7,"1982_58.0275_-162.7485"
58.04117,-167.78867,1982,101.4611,"walleye pollock",2.1,"1982_58.04117_-167.78867"
58.2665,-161.402,1982,53.545,"walleye pollock",4.8,"1982_58.2665_-161.402"
58.29667,-171.6405,1982,69.2724,"walleye pollock",3.3,"1982_58.29667_-171.6405"
58.31167,-162.065,1982,0.0501,"walleye pollock",1.5,"1982_58.31167_-162.065"
58.31383,-169.11733,1982,160.8601,"walleye pollock",2,"1982_58.31383_-169.11733"
58.31833,-164.63,1982,1.3449,"walleye pollock",1.1,"1982_58.31833_-164.63"
58.32167,-159.54,1982,0.043,"walleye pollock",0.8,"1982_58.32167_-159.54"
58.32433,-169.72683,1982,41.2052,"walleye pollock",0.8,"1982_58.32433_-169.72683"
58.3255,-168.46967,1982,55.0625,"walleye pollock",1.3,"1982_58.3255_-168.46967"
58.326,-166.56433,1982,10.1609,"walleye pollock",3.3,"1982_58.326_-166.56433"
58.33267,-163.99517,1982,5.7279,"walleye pollock",2,"1982_58.33267_-163.99517"
58.33333,-160.72167,1982,0,"walleye pollock",4.1,"1982_58.33333_-160.72167"
58.338,-172.30067,1982,156.8198,"walleye pollock",3.2,"1982_58.338_-172.30067"
58.00667,-158.92433,1982,0,"walleye pollock",-0.2,"1982_58.00667_-158.92433"
58.008,-169.0495,1982,47.2499,"walleye pollock",2,"1982_58.008_-169.0495"
58.01,-172.89683,1982,13.1896,"walleye pollock",3.5,"1982_58.01_-172.89683"
58.01,-163.39167,1982,2.3412,"walleye pollock",0.7,"1982_58.01_-163.39167"
58.01267,-170.97133,1982,569.3193,"walleye pollock",3.4,"1982_58.01267_-170.97133"
58.34383,-173.59433,1982,160.8181,"walleye pollock",3.3,"1982_58.34383_-173.59433"
58.345,-165.91667,1982,1.0043,"walleye pollock",1.2,"1982_58.345_-165.91667"
58.349,-165.28883,1982,3.1128,"walleye pollock",1.3,"1982_58.349_-165.28883"
58.35133,-167.19083,1982,31.3727,"walleye pollock",3,"1982_58.35133_-167.19083"
58.35417,-167.83567,1982,6.3716,"walleye pollock",1.7,"1982_58.35417_-167.83567"
58.3545,-172.93867,1982,362.9313,"walleye pollock",3.2,"1982_58.3545_-172.93867"
58.37417,-174.287,1982,1.4435,"walleye pollock",3.7,"1982_58.37417_-174.287"
58.63567,-172.96983,1982,44.1586,"walleye pollock",3.4,"1982_58.63567_-172.96983"
58.64317,-169.14933,1982,52.0649,"walleye pollock",1.7,"1982_58.64317_-169.14933"
58.65167,-164.65167,1982,4.7416,"walleye pollock",1.5,"1982_58.65167_-164.65167"
58.65367,-168.491,1982,45.7009,"walleye pollock",2.7,"1982_58.65367_-168.491"
58.65433,-169.781,1982,15.9083,"walleye pollock",0,"1982_58.65433_-169.781"
58.65633,-172.3625,1982,36.7669,"walleye pollock",2.6,"1982_58.65633_-172.3625"
58.65783,-166.56683,1982,0.1765,"walleye pollock",3,"1982_58.65783_-166.56683"
58.66567,-162.70183,1982,0,"walleye pollock",2.6,"1982_58.66567_-162.70183"
58.66917,-163.99,1982,2.9881,"walleye pollock",2.7,"1982_58.66917_-163.99"
58.67267,-174.29,1982,11.4157,"walleye pollock",3.4,"1982_58.67267_-174.29"
58.678,-167.22717,1982,4.3709,"walleye pollock",3.1,"1982_58.678_-167.22717"
58.67817,-171.08633,1982,775.4151,"walleye pollock",1.1,"1982_58.67817_-171.08633"
58.3545,-162.71867,1982,0,"walleye pollock",2.1,"1982_58.3545_-162.71867"
58.35783,-170.38483,1982,220.1694,"walleye pollock",0.8,"1982_58.35783_-170.38483"
58.34233,-171.01917,1982,346.9806,"walleye pollock",2.7,"1982_58.34233_-171.01917"
58.34333,-163.385,1982,17.1874,"walleye pollock",1.1,"1982_58.34333_-163.385"
58.685,-163.36167,1982,0,"walleye pollock",1.8,"1982_58.685_-163.36167"
58.68867,-170.43967,1982,43.8001,"walleye pollock",0.9,"1982_58.68867_-170.43967"
58.69617,-174.99517,1982,21.5885,"walleye pollock",3.5,"1982_58.69617_-174.99517"
58.69917,-171.7205,1982,502.5771,"walleye pollock",2.4,"1982_58.69917_-171.7205"
58.6995,-176.91167,1982,6.9546,"walleye pollock",3.4,"1982_58.6995_-176.91167"
58.706,-176.30183,1982,4.4959,"walleye pollock",3.3,"1982_58.706_-176.30183"
58.92583,-173.62083,1982,74.7372,"walleye pollock",3,"1982_58.92583_-173.62083"
58.9545,-175.74583,1982,46.6903,"walleye pollock",4.5,"1982_58.9545_-175.74583"
58.97817,-166.57883,1982,0.078,"walleye pollock",3.4,"1982_58.97817_-166.57883"
58.97933,-177.00917,1982,25.1155,"walleye pollock",3.1,"1982_58.97933_-177.00917"
58.98033,-171.775,1982,77.3284,"walleye pollock",1.2,"1982_58.98033_-171.775"
58.984,-168.523,1982,75.8697,"walleye pollock",2.4,"1982_58.984_-168.523"
58.98417,-169.183,1982,59.2578,"walleye pollock",3.2,"1982_58.98417_-169.183"
58.98767,-169.839,1982,36.4543,"walleye pollock",2,"1982_58.98767_-169.839"
58.98833,-164.63667,1982,0.9754,"walleye pollock",3,"1982_58.98833_-164.63667"
58.9905,-172.429,1982,65.5353,"walleye pollock",2.2,"1982_58.9905_-172.429"
58.68033,-175.53917,1982,5.8937,"walleye pollock",3.3,"1982_58.68033_-175.53917"
58.68117,-173.635,1982,93.7327,"walleye pollock",3.3,"1982_58.68117_-173.635"
58.68167,-165.91833,1982,2.9757,"walleye pollock",1.7,"1982_58.68167_-165.91833"
58.68183,-165.29967,1982,4.334,"walleye pollock",2,"1982_58.68183_-165.29967"
58.68367,-167.87033,1982,47.2136,"walleye pollock",3.3,"1982_58.68367_-167.87033"
59.00667,-167.87833,1982,6.8677,"walleye pollock",3,"1982_59.00667_-167.87833"
59.00933,-167.24767,1982,4.0886,"walleye pollock",3,"1982_59.00933_-167.24767"
59.01183,-171.13683,1982,98.9773,"walleye pollock",0.6,"1982_59.01183_-171.13683"
59.0155,-165.29883,1982,0,"walleye pollock",3.2,"1982_59.0155_-165.29883"
59.01667,-165.92833,1982,0.1844,"walleye pollock",2.2,"1982_59.01667_-165.92833"
59.02167,-170.48783,1982,95.3158,"walleye pollock",0.4,"1982_59.02167_-170.48783"
59.02767,-176.3685,1982,26.8914,"walleye pollock",2.6,"1982_59.02767_-176.3685"
59.03517,-175.0605,1982,24.812,"walleye pollock",2.9,"1982_59.03517_-175.0605"
59.04583,-174.3265,1982,74.7297,"walleye pollock",3,"1982_59.04583_-174.3265"
59.30683,-177.156,1982,5.6216,"walleye pollock",3,"1982_59.30683_-177.156"
59.31,-163.99667,1982,0,"walleye pollock",6,"1982_59.31_-163.99667"
59.31083,-173.8055,1982,34.0786,"walleye pollock",2.3,"1982_59.31083_-173.8055"
59.31133,-171.82617,1982,34.51,"walleye pollock",0.6,"1982_59.31133_-171.82617"
59.31283,-169.23083,1982,5.5309,"walleye pollock",2.5,"1982_59.31283_-169.23083"
59.32,-164.655,1982,0.0105,"walleye pollock",5.1,"1982_59.32_-164.655"
59.32117,-167.26817,1982,0.0673,"walleye pollock",3.1,"1982_59.32117_-167.26817"
59.32167,-172.4975,1982,9.2871,"walleye pollock",1.2,"1982_59.32167_-172.4975"
59.32233,-169.87017,1982,50.448,"walleye pollock",1.5,"1982_59.32233_-169.87017"
59.32317,-173.17517,1982,7.8625,"walleye pollock",1.5,"1982_59.32317_-173.17517"
59.028,-173.087,1982,31.3056,"walleye pollock",3.1,"1982_59.028_-173.087"
58.9905,-163.99483,1982,5.524,"walleye pollock",4.6,"1982_58.9905_-163.99483"
58.99167,-163.34667,1982,0.0222,"walleye pollock",3,"1982_58.99167_-163.34667"
58.99667,-177.58383,1982,5.9994,"walleye pollock",3.1,"1982_58.99667_-177.58383"
59.335,-175.14183,1982,25.0045,"walleye pollock",3,"1982_59.335_-175.14183"
59.33817,-166.6145,1982,0.0829,"walleye pollock",4.1,"1982_59.33817_-166.6145"
59.34167,-165.96167,1982,0.0886,"walleye pollock",3,"1982_59.34167_-165.96167"
59.3435,-171.19633,1982,54.2021,"walleye pollock",0.2,"1982_59.3435_-171.19633"
59.35667,-167.91667,1982,0.809,"walleye pollock",2.8,"1982_59.35667_-167.91667"
59.35717,-170.54483,1982,0.08,"walleye pollock",1.2,"1982_59.35717_-170.54483"
59.36817,-176.45033,1982,4.6759,"walleye pollock",2.7,"1982_59.36817_-176.45033"
59.63117,-177.18517,1982,27.3918,"walleye pollock",3.5,"1982_59.63117_-177.18517"
59.646,-171.8875,1982,37.7351,"walleye pollock",1.6,"1982_59.646_-171.8875"
59.65,-169.2645,1982,3.0582,"walleye pollock",2.1,"1982_59.65_-169.2645"
59.65917,-166.64017,1982,0.8584,"walleye pollock",5.7,"1982_59.65917_-166.64017"
59.6595,-172.56367,1982,24.9666,"walleye pollock",0,"1982_59.6595_-172.56367"
59.66,-175.1725,1982,22.1214,"walleye pollock",2.8,"1982_59.66_-175.1725"
59.661,-168.62333,1982,6.9732,"walleye pollock",2.2,"1982_59.661_-168.62333"
59.66117,-169.898,1982,9.7639,"walleye pollock",1.5,"1982_59.66117_-169.898"
59.66167,-165.95167,1982,0,"walleye pollock",3.6,"1982_59.66167_-165.95167"
59.32467,-175.79817,1982,36.4023,"walleye pollock",2.3,"1982_59.32467_-175.79817"
59.32717,-174.45183,1982,36.4006,"walleye pollock",2.8,"1982_59.32717_-174.45183"
59.33483,-168.553,1982,4.7281,"walleye pollock",2.2,"1982_59.33483_-168.553"
59.33483,-165.27483,1982,0,"walleye pollock",4.5,"1982_59.33483_-165.27483"
59.67183,-173.25283,1982,46.9079,"walleye pollock",1.4,"1982_59.67183_-173.25283"
59.67533,-174.4755,1982,34.6787,"walleye pollock",2.4,"1982_59.67533_-174.4755"
59.67683,-167.94817,1982,4.3462,"walleye pollock",3.8,"1982_59.67683_-167.94817"
59.67817,-175.9205,1982,26.1009,"walleye pollock",2.5,"1982_59.67817_-175.9205"
59.6795,-173.88083,1982,7.9069,"walleye pollock",1.9,"1982_59.6795_-173.88083"
59.68183,-170.58417,1982,6.418,"walleye pollock",0,"1982_59.68183_-170.58417"
59.683,-176.58367,1982,17.6633,"walleye pollock",-9999,"1982_59.683_-176.58367"
59.96133,-177.24517,1982,16.0676,"walleye pollock",2,"1982_59.96133_-177.24517"
59.963,-171.95667,1982,5.2474,"walleye pollock",1.5,"1982_59.963_-171.95667"
59.978,-173.27817,1982,17.2051,"walleye pollock",0.1,"1982_59.978_-173.27817"
59.98867,-168.65333,1982,4.6782,"walleye pollock",2.3,"1982_59.98867_-168.65333"
59.991,-169.31617,1982,9.6782,"walleye pollock",2.3,"1982_59.991_-169.31617"
59.99433,-172.65,1982,19.736,"walleye pollock",-0.1,"1982_59.99433_-172.65"
59.99767,-169.96733,1982,13.5975,"walleye pollock",1.5,"1982_59.99767_-169.96733"
60.008,-174.57767,1982,23.9989,"walleye pollock",1.8,"1982_60.008_-174.57767"
60.00933,-175.33167,1982,97.98,"walleye pollock",2.5,"1982_60.00933_-175.33167"
60.01133,-171.31533,1982,13.9021,"walleye pollock",-1.2,"1982_60.01133_-171.31533"
60.012,-173.9585,1982,13.6235,"walleye pollock",1.2,"1982_60.012_-173.9585"
60.01733,-170.6285,1982,5.4405,"walleye pollock",-0.6,"1982_60.01733_-170.6285"
60.01817,-167.9745,1982,0.1257,"walleye pollock",3.8,"1982_60.01817_-167.9745"
59.68317,-171.249,1982,34.4045,"walleye pollock",-0.3,"1982_59.68317_-171.249"
